Invoice_ID,City,Course_Type,Price,Discount,Final_Total,Enrollment_Date,Rating,Course_Details
INV-10028,Dammam,Recorded Subscription,307,153,154,2023-10-24,4.2,Laravel & PHP | Beginner
INV-10029,Jeddah,Recorded Subscription,318,63,255,2024-01-25,4.6,UI/UX Design | Beginner
INV-10030,Khobar,Recorded Subscription,594,0,594,14-01-2023,3.8,UI/UX Design | Advanced
INV-10031,Riyadh,Recorded Subscription,610,122,488,26-12-2023,4.6,Flutter Development | Advanced
INV-10032,Khobar,Recorded Subscription,333,66,267,2023-10-12,4.7,React & Next.js | Beginner
INV-10033,Khobar,Recorded Subscription,325,65,260,2023-10-31,4.2,Data Analysis | Beginner
INV-10034,Jeddah,Recorded Subscription,314,0,314,16-10-2023,4.0,Python Basics | Beginner
INV-10035,Riyadh,Recorded Subscription,286,57,229,09-03-2023,4.8,Flutter Development | Beginner
INV-10036,Riyadh,Recorded Subscription,479,95,384,"2023, March 15",3.8,UI/UX Design | Intermediate
INV-10037,Dammam,Live Bootcamp,1879,0,1879,2023-11-02,4.6,Data Analysis | Beginner
INV-10038,Tabuk,Recorded Subscription,262,52,210,2023-03-05,4.3,Flutter Development | Beginner
INV-10039,Medina,Recorded Subscription,625,125,500,"2023, March 15",4.7,Laravel & PHP | Advanced
INV-10040,Medina,Recorded Subscription,436,0,436,2023-02-20,4.7,Laravel & PHP | Intermediate
INV-10041,Medina,Recorded Subscription,453,0,453,"2023, March 15",4.1,UI/UX Design | Intermediate
INV-10042,Jeddah,Recorded Subscription,276,55,221,2023-10-02,4.4,UI/UX Design | Beginner
INV-10043,Riyadh,Recorded Subscription,204,0,204,"2023, March 15",4.4,UI/UX Design | Beginner
INV-10044,Tabuk,Recorded Subscription,394,78,316,2023-02-14,4.8,Flutter Development | Intermediate
INV-10045,Riyadh,Recorded Subscription,203,0,203,2023-05-09,3.9,Laravel & PHP | Beginner
INV-10046,Tabuk,Recorded Subscription,345,172,173,2024-02-29,4.4,Data Analysis | Beginner
INV-10047,Tabuk,Recorded Subscription,542,0,542,2023-08-29,4.4,React & Next.js | Advanced
INV-10048,Tabuk,Recorded Subscription,454,0,454,2024-01-26,4.2,UI/UX Design | Intermediate
INV-10049,Tabuk,Recorded Subscription,313,0,313,"2023, March 15",4.3,Laravel & PHP | Beginner
INV-10050,Riyadh,Recorded Subscription,642,321,321,18-01-2024,4.3,React & Next.js | Advanced
INV-10051,Medina,Recorded Subscription,643,321,322,28-12-2023,4.1,UI/UX Design | Advanced
INV-10052,Riyadh,Recorded Subscription,250,125,125,30-03-2023,3.9,Flutter Development | Beginner
INV-10053,Jeddah,Live Bootcamp,1985,0,1985,"2023, March 15",4.6,React & Next.js | Beginner
INV-10054,Jeddah,Live Bootcamp,1549,0,1549,"2023, March 15",4.7,UI/UX Design | Beginner
INV-10055,Dammam,Recorded Subscription,249,49,200,2023-05-07,4.5,React & Next.js | Beginner
INV-10056,Medina,Live Bootcamp,2101,0,2101,05-08-2023,4.9,React & Next.js | Intermediate
INV-10057,Riyadh,Live Bootcamp,2852,0,2852,17-03-2024,,Flutter Development | Advanced
INV-10058,Riyadh,Recorded Subscription,507,253,254,29-10-2023,3.8,Python Basics | Advanced
INV-10059,Jeddah,Recorded Subscription,476,238,238,11-01-2023,4.8,Laravel & PHP | Intermediate
INV-10060,Mecca,Recorded Subscription,291,145,146,2024-01-03,4.0,Laravel & PHP | Beginner
INV-10061,Mecca,Recorded Subscription,294,147,147,2024-03-07,4.1,React & Next.js | Beginner
INV-10062,Khobar,Recorded Subscription,515,103,412,"2023, March 15",4.4,UI/UX Design | Advanced
INV-10063,Medina,Recorded Subscription,325,0,325,2023-06-28,3.9,Flutter Development | Beginner
INV-10064,Riyadh,Live Bootcamp,1909,0,1909,"2023, March 15",4.7,Data Analysis | Beginner
INV-10065,Riyadh,Recorded Subscription,209,104,105,2023-07-07,3.9,Python Basics | Beginner
INV-10066,Riyadh,Recorded Subscription,546,0,546,"2023, March 15",4.6,Laravel & PHP | Advanced
INV-10067,Jeddah,Recorded Subscription,222,44,178,26-06-2023,4.1,Flutter Development | Beginner
INV-10068,Jeddah,Recorded Subscription,239,119,120,2023-07-18,3.9,React & Next.js | Beginner
INV-10069,Riyadh,Recorded Subscription,415,207,208,"2023, March 15",4.2,Flutter Development | Intermediate
INV-10070,Tabuk,Recorded Subscription,321,0,321,"2023, March 15",3.9,UI/UX Design | Beginner
INV-10071,Riyadh,Recorded Subscription,212,106,106,16-06-2023,4.1,Flutter Development | Beginner
INV-10072,Dammam,Recorded Subscription,312,62,250,05-05-2023,3.9,Data Analysis | Beginner
INV-10073,Mecca,Recorded Subscription,285,142,143,2023-03-30,4.1,Flutter Development | Beginner
INV-10074,Mecca,Recorded Subscription,460,92,368,12-04-2023,4.7,Data Analysis | Intermediate
INV-10075,Khobar,Recorded Subscription,292,58,234,2023-09-25,4.3,Flutter Development | Beginner
INV-10076,Riyadh,Recorded Subscription,337,67,270,"2023, March 15",4.6,React & Next.js | Beginner
INV-10077,Mecca,Recorded Subscription,296,0,296,08-08-2023,4.6,Python Basics | Beginner
INV-10078,Jeddah,Live Bootcamp,1664,166,1498,01-08-2023,4.9,Data Analysis | Beginner
INV-10079,Tabuk,Recorded Subscription,208,41,167,06-01-2024,4.7,UI/UX Design | Beginner
INV-10080,Khobar,Recorded Subscription,305,0,305,2023-12-13,4.7,Python Basics | Beginner
INV-10081,Jeddah,Live Bootcamp,2932,0,2932,19-07-2023,4.7,Flutter Development | Advanced
INV-10082,Riyadh,Live Bootcamp,1751,0,1751,"2023, March 15",4.9,Flutter Development | Beginner
INV-10083,Mecca,Recorded Subscription,555,111,444,01-06-2023,3.8,Flutter Development | Advanced
INV-10084,Mecca,Recorded Subscription,273,54,219,"2023, March 15",4.7,Laravel & PHP | Beginner
INV-10085,Khobar,Recorded Subscription,574,0,574,2023-12-04,3.9,Python Basics | Advanced
INV-10086,Riyadh,Live Bootcamp,1796,179,1617,2023-09-12,4.7,React & Next.js | Beginner
INV-10087,Khobar,Recorded Subscription,343,68,275,2024-01-05,4.8,Python Basics | Beginner
INV-10088,Khobar,Recorded Subscription,213,42,171,"2023, March 15",3.9,Python Basics | Beginner
INV-10089,Dammam,Recorded Subscription,395,197,198,2023-10-16,4.6,Flutter Development | Intermediate
INV-10090,Riyadh,Recorded Subscription,453,0,453,2024-03-17,4.7,Laravel & PHP | Intermediate
INV-10091,Jeddah,Live Bootcamp,2252,0,2252,2023-01-12,4.9,React & Next.js | Intermediate
INV-10092,Tabuk,Recorded Subscription,302,60,242,26-03-2024,3.9,UI/UX Design | Beginner
INV-10093,Dammam,Recorded Subscription,556,0,556,"2023, March 15",4.7,Python Basics | Advanced
INV-10094,Mecca,Recorded Subscription,579,115,464,07-03-2023,3.8,Flutter Development | Advanced
INV-10095,Riyadh,Live Bootcamp,2950,0,2950,2023-02-20,4.7,Data Analysis | Advanced
INV-10096,Riyadh,Recorded Subscription,331,66,265,17-08-2023,4.4,UI/UX Design | Beginner
INV-10097,Jeddah,Live Bootcamp,1839,0,1839,"2023, March 15",4.9,UI/UX Design | Beginner
INV-10098,Medina,Recorded Subscription,270,54,216,2024-03-18,4.8,UI/UX Design | Beginner
INV-10099,Mecca,Recorded Subscription,556,111,445,"2023, March 15",4.7,Python Basics | Advanced
INV-10100,Dammam,Recorded Subscription,213,0,213,2023-03-11,4.4,Flutter Development | Beginner
INV-10101,Dammam,Live Bootcamp,2715,0,2715,2023-09-18,4.6,Flutter Development | Advanced
INV-10102,Mecca,Recorded Subscription,625,125,500,2023-09-26,4.3,Flutter Development | Advanced
INV-10103,Jeddah,Recorded Subscription,241,0,241,12-09-2023,3.9,Data Analysis | Beginner
INV-10104,Medina,Recorded Subscription,466,93,373,2023-09-21,4.2,React & Next.js | Intermediate
INV-10105,Khobar,Recorded Subscription,252,50,202,2024-03-03,4.3,Data Analysis | Beginner
INV-10106,Mecca,Recorded Subscription,202,40,162,2024-01-26,4.5,Laravel & PHP | Beginner
INV-10107,Dammam,Recorded Subscription,414,82,332,2023-12-16,3.8,React & Next.js | Intermediate
INV-10108,Khobar,Recorded Subscription,469,93,376,"2023, March 15",4.7,React & Next.js | Intermediate
INV-10109,Tabuk,Recorded Subscription,279,0,279,29-07-2023,3.9,Flutter Development | Beginner
INV-10110,Mecca,Recorded Subscription,392,0,392,08-08-2023,4.7,Laravel & PHP | Intermediate
INV-10111,Medina,Recorded Subscription,333,0,333,2024-03-16,4.7,Data Analysis | Beginner
INV-10112,Medina,Recorded Subscription,469,93,376,"2023, March 15",4.5,React & Next.js | Intermediate
INV-10113,Dammam,Recorded Subscription,200,40,160,20-10-2023,4.0,React & Next.js | Beginner
INV-10114,Mecca,Recorded Subscription,213,0,213,2024-02-19,4.0,Data Analysis | Beginner
INV-10115,Jeddah,Recorded Subscription,250,0,250,"2023, March 15",4.2,Laravel & PHP | Beginner
INV-10116,Riyadh,Recorded Subscription,302,0,302,"2023, March 15",4.0,UI/UX Design | Beginner
INV-10117,Dammam,Recorded Subscription,210,42,168,25-03-2023,4.1,Data Analysis | Beginner
INV-10118,Medina,Recorded Subscription,282,56,226,04-02-2024,3.8,React & Next.js | Beginner
INV-10119,Medina,Live Bootcamp,2687,268,2419,"2023, March 15",4.6,Flutter Development | Advanced
INV-10120,Jeddah,Live Bootcamp,2089,0,2089,"2023, March 15",4.6,Data Analysis | Intermediate
INV-10121,Jeddah,Live Bootcamp,2627,262,2365,2024-02-13,4.7,Laravel & PHP | Advanced
INV-10122,Jeddah,Recorded Subscription,260,52,208,"2023, March 15",4.6,Python Basics | Beginner
INV-10123,Mecca,Recorded Subscription,237,0,237,2023-03-16,4.4,Laravel & PHP | Beginner
INV-10124,Riyadh,Recorded Subscription,277,0,277,10-06-2023,4.6,Python Basics | Beginner
INV-10125,Mecca,Recorded Subscription,328,65,263,"2023, March 15",4.1,UI/UX Design | Beginner
INV-10126,Tabuk,Recorded Subscription,272,0,272,"2023, March 15",4.6,React & Next.js | Beginner
INV-10127,Dammam,Recorded Subscription,363,72,291,2023-08-06,4.1,UI/UX Design | Intermediate
INV-10128,Mecca,Recorded Subscription,643,0,643,"2023, March 15",4.1,Data Analysis | Advanced
INV-10129,Medina,Recorded Subscription,590,0,590,2024-02-28,4.5,React & Next.js | Advanced
INV-10130,Tabuk,Recorded Subscription,241,0,241,17-08-2023,4.6,Laravel & PHP | Beginner
INV-10131,Medina,Recorded Subscription,365,0,365,"2023, March 15",4.8,UI/UX Design | Intermediate
INV-10132,Riyadh,Recorded Subscription,274,54,220,2023-02-15,4.2,Data Analysis | Beginner
INV-10133,Medina,Recorded Subscription,605,121,484,2023-10-25,4.8,Laravel & PHP | Advanced
INV-10134,Medina,Recorded Subscription,249,0,249,2024-03-08,3.8,Python Basics | Beginner
INV-10135,Tabuk,Recorded Subscription,448,0,448,19-02-2024,4.1,Laravel & PHP | Intermediate
INV-10136,Riyadh,Live Bootcamp,2105,0,2105,16-11-2023,4.6,UI/UX Design | Intermediate
INV-10137,Dammam,Live Bootcamp,1924,192,1732,2023-05-28,4.6,Data Analysis | Beginner
INV-10138,Khobar,Recorded Subscription,305,0,305,"2023, March 15",4.6,UI/UX Design | Beginner
INV-10139,Khobar,Recorded Subscription,622,124,498,2023-10-18,4.6,UI/UX Design | Advanced
INV-10140,Jeddah,Live Bootcamp,2464,0,2464,"2023, March 15",4.8,React & Next.js | Intermediate
INV-10141,Riyadh,Live Bootcamp,1742,0,1742,2023-07-26,4.8,Laravel & PHP | Beginner
INV-10142,Mecca,Recorded Subscription,581,0,581,28-11-2023,4.6,UI/UX Design | Advanced
INV-10143,Tabuk,Recorded Subscription,488,0,488,10-06-2023,4.7,Data Analysis | Intermediate
INV-10144,Tabuk,Recorded Subscription,576,0,576,"2023, March 15",4.0,Laravel & PHP | Advanced
INV-10145,Tabuk,Recorded Subscription,247,123,124,"2023, March 15",4.1,Python Basics | Beginner
INV-10146,Riyadh,Live Bootcamp,1647,0,1647,"2023, March 15",4.7,Laravel & PHP | Beginner
INV-10147,Tabuk,Recorded Subscription,209,41,168,2023-06-14,3.9,Flutter Development | Beginner
INV-10148,Tabuk,Recorded Subscription,308,61,247,2023-10-13,4.4,Python Basics | Beginner
INV-10149,Jeddah,Live Bootcamp,1506,150,1356,2023-10-30,4.6,Laravel & PHP | Beginner
INV-10150,Riyadh,Live Bootcamp,1946,0,1946,20-03-2023,4.5,UI/UX Design | Beginner
INV-10151,Jeddah,Recorded Subscription,314,0,314,"2023, March 15",4.5,UI/UX Design | Beginner
INV-10152,Medina,Recorded Subscription,279,0,279,31-12-2023,4.4,UI/UX Design | Beginner
INV-10153,Tabuk,Recorded Subscription,330,66,264,2023-07-22,4.5,Python Basics | Beginner
INV-10154,Riyadh,Recorded Subscription,223,44,179,"2023, March 15",4.6,Python Basics | Beginner
INV-10155,Medina,Recorded Subscription,468,93,375,"2023, March 15",3.9,Python Basics | Intermediate
INV-10156,Medina,Recorded Subscription,303,0,303,15-06-2023,4.6,Laravel & PHP | Beginner
INV-10157,Dammam,Recorded Subscription,244,48,196,"2023, March 15",4.4,Python Basics | Beginner
INV-10158,Riyadh,Recorded Subscription,373,74,299,"2023, March 15",4.5,Laravel & PHP | Intermediate
INV-10159,Dammam,Live Bootcamp,1518,0,1518,18-02-2024,4.9,Python Basics | Beginner
INV-10160,Khobar,Recorded Subscription,343,171,172,2023-06-15,4.3,Flutter Development | Beginner
INV-10161,Khobar,Recorded Subscription,285,0,285,2023-11-01,4.4,React & Next.js | Beginner
INV-10162,Khobar,Recorded Subscription,277,55,222,2023-09-28,3.8,UI/UX Design | Beginner
INV-10163,Riyadh,Recorded Subscription,354,0,354,2023-04-27,4.0,UI/UX Design | Intermediate
INV-10164,Dammam,Recorded Subscription,276,55,221,2024-01-05,4.4,Flutter Development | Beginner
INV-10165,Jeddah,Recorded Subscription,443,88,355,"2023, March 15",4.4,Data Analysis | Intermediate
INV-10166,Jeddah,Recorded Subscription,282,141,141,03-01-2023,4.3,React & Next.js | Beginner
INV-10167,Khobar,Recorded Subscription,282,141,141,"2023, March 15",3.8,React & Next.js | Beginner
INV-10168,Dammam,Recorded Subscription,344,0,344,2024-01-09,4.0,Data Analysis | Beginner
INV-10169,Jeddah,Recorded Subscription,617,308,309,"2023, March 15",3.9,Flutter Development | Advanced
INV-10170,Jeddah,Recorded Subscription,290,0,290,"2023, March 15",4.0,Laravel & PHP | Beginner
INV-10171,Jeddah,Recorded Subscription,545,109,436,"2023, March 15",4.6,UI/UX Design | Advanced
INV-10172,Riyadh,Recorded Subscription,591,0,591,"2023, March 15",4.5,Laravel & PHP | Advanced
INV-10173,Jeddah,Recorded Subscription,610,0,610,2023-01-03,4.1,React & Next.js | Advanced
INV-10174,Medina,Recorded Subscription,251,125,126,"2023, March 15",4.1,Python Basics | Beginner
INV-10175,Khobar,Recorded Subscription,550,0,550,2024-03-10,4.3,Python Basics | Advanced
INV-10176,Dammam,Recorded Subscription,631,126,505,2023-05-22,4.7,Data Analysis | Advanced
INV-10177,Khobar,Recorded Subscription,267,133,134,16-10-2023,4.7,Data Analysis | Beginner
INV-10178,Riyadh,Recorded Subscription,287,57,230,2024-02-15,4.4,UI/UX Design | Beginner
INV-10179,Dammam,Recorded Subscription,431,0,431,2023-09-13,3.9,Python Basics | Intermediate
INV-10180,Medina,Recorded Subscription,303,151,152,12-03-2024,4.8,Laravel & PHP | Beginner
INV-10181,Tabuk,Recorded Subscription,249,49,200,2024-03-14,4.3,Flutter Development | Beginner
INV-10182,Khobar,Recorded Subscription,242,0,242,"2023, March 15",4.0,Laravel & PHP | Beginner
INV-10183,Riyadh,Recorded Subscription,402,0,402,"2023, March 15",4.4,Python Basics | Intermediate
INV-10184,Mecca,Recorded Subscription,638,0,638,"2023, March 15",4.5,UI/UX Design | Advanced
INV-10185,Mecca,Recorded Subscription,514,257,257,"2023, March 15",4.1,Python Basics | Advanced
INV-10186,Medina,Recorded Subscription,202,101,101,05-01-2023,4.3,Python Basics | Beginner
INV-10187,Riyadh,Live Bootcamp,2011,201,1810,2023-09-20,4.7,Flutter Development | Intermediate
INV-10188,Tabuk,Recorded Subscription,554,0,554,"2023, March 15",4.0,Laravel & PHP | Advanced
INV-10189,Khobar,Recorded Subscription,318,0,318,2023-07-10,4.4,Laravel & PHP | Beginner
INV-10190,Medina,Recorded Subscription,304,60,244,21-02-2024,4.4,React & Next.js | Beginner
INV-10191,Jeddah,Recorded Subscription,346,173,173,2023-05-01,4.4,Python Basics | Beginner
INV-10192,Jeddah,Recorded Subscription,264,52,212,2023-07-06,4.4,Data Analysis | Beginner
INV-10193,Jeddah,Recorded Subscription,223,44,179,11-09-2023,3.9,UI/UX Design | Beginner
INV-10194,Riyadh,Live Bootcamp,2647,0,2647,2024-03-19,5.0,Python Basics | Advanced
INV-10195,Riyadh,Recorded Subscription,205,0,205,"2023, March 15",4.1,Flutter Development | Beginner
INV-10196,Jeddah,Recorded Subscription,326,65,261,"2023, March 15",3.9,Python Basics | Beginner
INV-10197,Jeddah,Live Bootcamp,1552,0,1552,"2023, March 15",4.5,Python Basics | Beginner
INV-10198,Mecca,Recorded Subscription,310,155,155,"2023, March 15",4.2,Flutter Development | Beginner
INV-10199,Riyadh,Recorded Subscription,311,0,311,24-05-2023,3.9,Flutter Development | Beginner
INV-10200,Riyadh,Recorded Subscription,585,117,468,02-01-2024,4.5,React & Next.js | Advanced
INV-10201,Jeddah,Recorded Subscription,314,62,252,2023-01-12,3.8,UI/UX Design | Beginner
INV-10202,Riyadh,Recorded Subscription,315,0,315,"2023, March 15",4.2,Python Basics | Beginner
INV-10203,Jeddah,Live Bootcamp,1591,0,1591,"2023, March 15",4.9,Laravel & PHP | Beginner
INV-10204,Dammam,Recorded Subscription,352,0,352,28-09-2023,4.5,Python Basics | Intermediate
INV-10205,Mecca,Recorded Subscription,405,0,405,"2023, March 15",4.0,Python Basics | Intermediate
INV-10206,Jeddah,Recorded Subscription,366,73,293,06-02-2024,3.8,Python Basics | Intermediate
INV-10207,Khobar,Recorded Subscription,211,0,211,28-07-2023,4.3,Data Analysis | Beginner
INV-10208,Medina,Recorded Subscription,260,52,208,26-02-2023,4.5,Python Basics | Beginner
INV-10209,Riyadh,Recorded Subscription,335,0,335,2023-10-25,4.6,Python Basics | Beginner
INV-10210,Jeddah,Recorded Subscription,242,0,242,"2023, March 15",4.1,Laravel & PHP | Beginner
INV-10211,Dammam,Recorded Subscription,501,100,401,2023-07-09,4.2,Laravel & PHP | Advanced
INV-10212,Riyadh,Live Bootcamp,2959,295,2664,31-10-2023,4.8,React & Next.js | Advanced
INV-10213,Medina,Recorded Subscription,205,41,164,"2023, March 15",4.3,Data Analysis | Beginner
INV-10214,Riyadh,Live Bootcamp,2165,0,2165,2023-06-07,4.7,React & Next.js | Intermediate
INV-10215,Jeddah,Recorded Subscription,249,49,200,2023-06-08,4.2,Flutter Development | Beginner
INV-10216,Jeddah,Recorded Subscription,269,53,216,2023-04-19,4.8,Laravel & PHP | Beginner
INV-10217,Khobar,Recorded Subscription,390,195,195,11-02-2023,4.1,Python Basics | Intermediate
INV-10218,Dammam,Recorded Subscription,349,69,280,11-07-2023,4.3,UI/UX Design | Beginner
INV-10219,Khobar,Recorded Subscription,602,301,301,"2023, March 15",4.5,Flutter Development | Advanced
INV-10220,Medina,Recorded Subscription,364,182,182,"2023, March 15",4.6,Python Basics | Intermediate
INV-10221,Jeddah,Live Bootcamp,2397,0,2397,14-11-2023,4.7,Laravel & PHP | Intermediate
INV-10222,Medina,Recorded Subscription,270,54,216,"2023, March 15",3.9,Data Analysis | Beginner
INV-10223,Riyadh,Recorded Subscription,501,100,401,04-12-2023,4.7,Python Basics | Advanced
INV-10224,Riyadh,Live Bootcamp,2536,0,2536,"2023, March 15",4.9,Laravel & PHP | Advanced
INV-10225,Mecca,Recorded Subscription,608,121,487,2023-06-30,4.3,Data Analysis | Advanced
INV-10226,Mecca,Recorded Subscription,487,0,487,22-01-2024,4.1,React & Next.js | Intermediate
INV-10227,Medina,Recorded Subscription,606,0,606,"2023, March 15",4.8,UI/UX Design | Advanced
INV-10228,Jeddah,Recorded Subscription,265,53,212,2023-07-29,4.0,UI/UX Design | Beginner
INV-10229,Khobar,Recorded Subscription,349,0,349,2023-09-02,4.6,Data Analysis | Beginner
INV-10230,Medina,Recorded Subscription,357,0,357,06-03-2023,4.2,Python Basics | Intermediate
INV-10231,Jeddah,Recorded Subscription,513,256,257,28-04-2023,4.3,Python Basics | Advanced
INV-10232,Jeddah,Recorded Subscription,417,83,334,"2023, March 15",4.2,Data Analysis | Intermediate
INV-10233,Jeddah,Live Bootcamp,2222,0,2222,02-06-2023,4.6,React & Next.js | Intermediate
INV-10234,Mecca,Live Bootcamp,1814,0,1814,2023-06-13,4.7,Laravel & PHP | Beginner
INV-10235,Jeddah,Live Bootcamp,1994,0,1994,"2023, March 15",4.9,React & Next.js | Beginner
INV-10236,Tabuk,Recorded Subscription,288,144,144,2023-05-29,3.8,Laravel & PHP | Beginner
INV-10237,Jeddah,Live Bootcamp,2095,0,2095,2024-02-21,4.7,React & Next.js | Intermediate
INV-10238,Mecca,Recorded Subscription,293,58,235,"2023, March 15",4.6,React & Next.js | Beginner
INV-10239,Riyadh,Recorded Subscription,269,134,135,"2023, March 15",4.1,Data Analysis | Beginner
INV-10240,Riyadh,Recorded Subscription,313,156,157,20-08-2023,4.8,Python Basics | Beginner
INV-10241,Mecca,Recorded Subscription,624,0,624,"2023, March 15",4.0,Laravel & PHP | Advanced
INV-10242,Mecca,Recorded Subscription,220,0,220,"2023, March 15",4.5,Flutter Development | Beginner
INV-10243,Jeddah,Live Bootcamp,2113,0,2113,"2023, March 15",4.9,Laravel & PHP | Intermediate
INV-10244,Dammam,Recorded Subscription,228,45,183,12-08-2023,4.8,React & Next.js | Beginner
INV-10245,Riyadh,Live Bootcamp,2847,0,2847,2024-02-23,4.5,Laravel & PHP | Advanced
INV-10246,Riyadh,Live Bootcamp,1944,0,1944,2023-04-27,4.8,UI/UX Design | Beginner
INV-10247,Jeddah,Recorded Subscription,443,221,222,"2023, March 15",4.5,Laravel & PHP | Intermediate
INV-10248,Riyadh,Recorded Subscription,398,0,398,30-01-2023,3.8,Data Analysis | Intermediate
INV-10249,Riyadh,Live Bootcamp,1667,0,1667,2023-03-09,4.6,Python Basics | Beginner
INV-10250,Mecca,Recorded Subscription,358,0,358,2023-01-23,4.6,React & Next.js | Intermediate
INV-10251,Dammam,Recorded Subscription,357,71,286,"2023, March 15",3.8,UI/UX Design | Intermediate
INV-10252,Tabuk,Recorded Subscription,507,101,406,21-04-2023,4.5,Python Basics | Advanced
INV-10253,Medina,Recorded Subscription,356,71,285,2023-03-26,4.5,Flutter Development | Intermediate
INV-10254,Tabuk,Recorded Subscription,367,183,184,"2023, March 15",4.5,Flutter Development | Intermediate
INV-10255,Khobar,Recorded Subscription,333,66,267,"2023, March 15",4.7,Python Basics | Beginner
INV-10256,Riyadh,Live Bootcamp,1864,0,1864,2023-03-05,4.6,Python Basics | Beginner
INV-10257,Mecca,Recorded Subscription,213,106,107,"2023, March 15",4.4,Python Basics | Beginner
INV-10258,Medina,Recorded Subscription,619,0,619,"2023, March 15",4.7,React & Next.js | Advanced
INV-10259,Riyadh,Live Bootcamp,2121,0,2121,17-04-2023,4.6,Data Analysis | Intermediate
INV-10260,Tabuk,Recorded Subscription,236,47,189,05-01-2023,4.4,Data Analysis | Beginner
INV-10261,Medina,Recorded Subscription,338,67,271,"2023, March 15",4.3,UI/UX Design | Beginner
INV-10262,Tabuk,Recorded Subscription,523,0,523,2023-02-19,4.5,React & Next.js | Advanced
INV-10263,Medina,Recorded Subscription,320,0,320,2023-09-08,3.8,Laravel & PHP | Beginner
INV-10264,Jeddah,Live Bootcamp,2140,0,2140,"2023, March 15",4.9,Flutter Development | Intermediate
INV-10265,Khobar,Recorded Subscription,628,314,314,"2023, March 15",4.2,UI/UX Design | Advanced
INV-10266,Dammam,Recorded Subscription,253,0,253,25-07-2023,4.3,Flutter Development | Beginner
INV-10267,Jeddah,Live Bootcamp,1946,0,1946,"2023, March 15",4.9,Data Analysis | Beginner
INV-10268,Tabuk,Recorded Subscription,347,69,278,"2023, March 15",4.6,Flutter Development | Beginner
INV-10269,Medina,Recorded Subscription,276,138,138,19-01-2024,3.8,React & Next.js | Beginner
INV-10270,Jeddah,Recorded Subscription,219,0,219,2023-05-21,3.9,UI/UX Design | Beginner
INV-10271,Medina,Live Bootcamp,1986,0,1986,2024-02-13,4.9,React & Next.js | Beginner
INV-10272,Mecca,Recorded Subscription,205,41,164,24-01-2023,4.0,Data Analysis | Beginner
INV-10273,Mecca,Recorded Subscription,224,0,224,2023-07-03,3.8,Python Basics | Beginner
INV-10274,Jeddah,Live Bootcamp,1907,0,1907,"2023, March 15",4.7,Laravel & PHP | Beginner
